Date,Price,Open,High,Low,Vol.,Change %
2022-12-14,63.55,64.17,64.76,63.34,37720.0,-0.0089
2022-12-15,62.98,62.84,63.11,61.55,38100.0,-0.009
2022-12-16,62.46,63.08,63.28,61.47,34640.0,-0.0083
2022-12-19,63.41,62.21,63.54,61.92,43080.0,0.0152
2022-12-20,64.81,63.45,65.22,62.75,56650.0,0.0221
2022-12-21,64.83,64.77,65.63,64.05,56380.0,0.0003
2022-12-22,64.01,64.74,65.0,63.5,44370.0,-0.0126
2022-12-23,64.65,64.1,65.36,63.9,46920.0,0.01
2022-12-27,66.39,65.39,66.97,65.15,66710.0,0.0269
2022-12-28,64.97,66.23,66.66,64.37,56040.0,-0.0214
2022-12-29,66.36,64.98,66.6,64.5,53480.0,0.0214
2022-12-30,64.07,66.33,66.73,63.74,53990.0,-0.0345
2023-01-03,63.2,64.44,65.4,63.12,49390.0,-0.0136
2023-01-04,62.85,63.44,63.75,62.5,42990.0,-0.0055
2023-01-05,62.42,63.08,63.83,62.07,49130.0,-0.0068
2023-01-06,63.17,62.43,63.67,62.1,44340.0,0.012
2023-01-09,63.35,63.66,64.43,62.87,42960.0,0.0028
2023-01-10,62.57,63.39,63.62,62.52,45150.0,-0.0123
2023-01-11,62.11,62.7,63.56,62.02,50550.0,-0.0074
2023-01-12,63.25,62.15,63.65,62.15,55570.0,0.0184
2023-01-13,63.06,63.25,63.45,61.89,62380.0,-0.003
2023-01-17,63.5,62.88,63.67,62.38,25470.0,0.007
2023-01-18,63.75,63.58,64.37,63.22,24410.0,0.0039
2023-01-19,62.98,63.67,64.0,62.5,26720.0,-0.0121
2023-01-20,61.98,63.01,63.76,61.73,32070.0,-0.0159
2023-01-23,62.05,61.9,62.3,61.21,20600.0,0.0011
2023-01-24,61.09,62.11,62.13,61.0,27260.0,-0.0155
2023-01-25,60.71,61.16,61.38,60.18,34670.0,-0.0062
2023-01-26,60.95,60.73,61.65,60.37,24040.0,0.004
2023-01-27,60.82,60.98,61.46,60.09,37460.0,-0.0021
2023-01-30,61.55,60.89,61.85,60.87,39040.0,0.012
2023-01-31,62.49,61.48,62.53,61.01,36020.0,0.0153
2023-02-01,61.03,62.47,62.6,60.53,50520.0,-0.0234
2023-02-02,61.13,61.03,61.44,60.47,32170.0,0.0016
2023-02-03,59.38,61.13,61.34,59.25,61370.0,-0.0286
2023-02-06,59.5,59.36,59.93,58.7,40120.0,0.002
2023-02-07,60.98,59.51,61.6,59.5,70960.0,0.0249
2023-02-08,60.71,61.07,61.24,60.23,56310.0,-0.0044
2023-02-09,59.17,60.66,61.08,59.1,66720.0,-0.0254
2023-02-10,60.66,59.29,60.7,59.04,46740.0,0.0252
2023-02-13,60.24,60.52,60.94,59.7,46660.0,-0.0069
2023-02-14,60.53,60.2,60.77,59.7,39180.0,0.0048
2023-02-15,61.44,60.47,61.56,59.76,58260.0,0.015
2023-02-16,62.15,61.36,62.35,61.18,53980.0,0.0116
2023-02-17,61.75,62.15,62.32,61.24,47970.0,-0.0064
2023-02-19,61.83,61.73,61.83,61.73,,0.0013
2023-02-20,61.78,61.88,61.88,61.77,,-0.0008
2023-02-21,62.95,62.03,63.23,61.21,72670.0,0.0189
2023-02-22,63.05,62.92,63.83,62.41,83940.0,0.0016
2023-02-23,62.18,63.05,63.75,61.96,72130.0,-0.0138
2023-02-24,61.22,62.25,62.8,61.0,72750.0,-0.0154
2023-02-27,60.34,61.33,61.85,60.05,75540.0,-0.0144
2023-02-28,60.04,60.34,60.52,59.78,64550.0,-0.005
2023-03-01,60.83,60.2,60.94,59.86,58990.0,0.0132
2023-03-02,61.9,60.75,62.09,60.11,76840.0,0.0176
2023-03-03,61.19,61.72,62.15,61.0,53940.0,-0.0115
2023-03-06,60.45,61.1,61.29,60.31,53710.0,-0.0121
2023-03-07,58.66,60.45,60.59,58.31,91040.0,-0.0296
2023-03-08,59.08,58.67,59.77,58.51,61800.0,0.0072
2023-03-09,57.06,59.08,59.65,57.01,76100.0,-0.0342
2023-03-10,56.61,57.37,57.44,56.1,88150.0,-0.0079
2023-03-13,55.86,56.83,57.24,55.36,68600.0,-0.0132
2023-03-14,56.18,55.9,57.08,55.71,66880.0,0.0057
2023-03-15,56.48,56.4,56.72,55.22,38780.0,0.0053
2023-03-16,57.75,56.56,57.93,56.15,56480.0,0.0225
2023-03-17,57.48,57.69,57.98,56.88,43340.0,-0.0047
2023-03-20,57.94,57.37,58.4,56.05,46840.0,0.008
2023-03-21,56.35,57.97,58.15,56.21,37380.0,-0.0274
2023-03-22,54.75,56.5,56.53,54.56,38320.0,-0.0284
2023-03-23,52.38,54.69,54.92,51.5,56690.0,-0.0433
2023-03-24,53.39,52.57,54.0,51.68,45880.0,0.0193
2023-03-27,54.65,53.59,54.86,53.0,27510.0,0.0236
2023-03-28,55.12,54.69,55.28,54.26,26650.0,0.0086
2023-03-29,55.46,54.99,55.6,54.58,27400.0,0.0062
