Date,Price,Open,High,Low,Vol.,Change %
2021-04-14,382.5,375.5,385.0,375.0,400.0,0.0186
2021-04-15,382.0,383.75,385.25,381.0,310.0,-0.0013
2021-04-16,380.75,383.75,384.0,380.75,480.0,-0.0033
2021-04-19,380.75,381.0,384.5,378.75,220.0,0.0
2021-04-20,385.25,380.5,390.0,380.5,370.0,0.0118
2021-04-21,391.75,385.0,392.5,384.75,140.0,0.0169
2021-04-22,402.25,393.25,403.0,393.25,480.0,0.0268
2021-04-23,399.0,402.5,410.75,395.75,190.0,-0.0081
2021-04-26,405.75,399.0,408.0,399.0,290.0,0.0169
2021-04-27,403.5,407.0,410.0,402.0,170.0,-0.0055
2021-04-28,398.75,403.5,405.0,393.75,90.0,-0.0118
2021-04-29,396.25,396.5,399.75,392.5,60.0,-0.0063
2021-04-30,401.0,393.75,393.75,393.75,0.0,0.012
2021-05-03,399.25,399.25,399.25,399.25,0.0,-0.0044
2021-05-04,401.5,401.5,401.5,401.5,,0.0056
2021-05-05,406.75,406.25,406.25,406.25,0.0,0.0131
2021-05-06,409.25,399.0,401.0,399.0,10.0,0.0061
2021-05-07,405.5,398.25,398.25,398.25,10.0,-0.0092
2021-05-10,403.0,395.75,395.75,391.25,10.0,-0.0062
2021-05-11,400.25,403.75,403.75,403.75,0.0,-0.0068
2021-05-12,380.75,395.0,395.0,379.0,40.0,-0.0487
2021-05-13,363.75,381.75,381.75,368.0,20.0,-0.0446
2021-05-14,363.75,371.25,371.25,360.5,10.0,0.0
2021-05-17,360.5,368.5,375.75,357.5,480.0,-0.0089
2021-05-18,356.5,366.0,366.0,354.0,420.0,-0.0111
2021-05-19,353.75,360.0,360.0,350.5,380.0,-0.0077
2021-05-20,358.25,353.5,363.75,351.25,550.0,0.0127
2021-05-21,356.0,356.5,358.5,354.25,190.0,-0.0063
2021-05-24,357.25,358.5,365.25,354.25,250.0,0.0035
2021-05-25,360.75,362.5,364.25,355.0,330.0,0.0098
2021-05-26,364.75,361.0,367.25,358.25,510.0,0.0111
2021-05-27,372.75,365.0,377.75,363.0,270.0,0.0219
2021-05-28,377.5,374.0,380.0,371.25,320.0,0.0127
2021-06-01,384.75,379.25,388.75,376.25,480.0,0.0192
2021-06-02,384.0,383.25,387.0,377.75,430.0,-0.0019
2021-06-03,380.0,385.75,388.0,374.75,290.0,-0.0104
2021-06-04,394.75,378.25,398.75,377.25,810.0,0.0388
2021-06-07,402.25,395.25,408.0,391.75,870.0,0.019
2021-06-08,408.0,402.0,409.25,399.25,280.0,0.0143
2021-06-09,396.0,408.0,408.0,393.75,380.0,-0.0294
2021-06-10,388.25,397.0,398.0,387.75,280.0,-0.0196
2021-06-11,381.25,388.25,395.0,380.0,340.0,-0.018
2021-06-14,368.75,384.5,384.5,365.25,880.0,-0.0328
2021-06-15,365.5,368.5,369.75,355.5,430.0,-0.0088
2021-06-16,375.25,367.25,379.5,365.75,350.0,0.0267
2021-06-17,365.75,378.0,379.5,365.0,420.0,-0.0253
2021-06-18,370.0,366.0,374.0,365.75,200.0,0.0116
2021-06-21,363.5,369.5,370.0,360.25,230.0,-0.0176
2021-06-22,360.25,366.0,370.5,357.25,240.0,-0.0089
2021-06-23,365.5,361.0,366.5,358.5,360.0,0.0146
2021-06-24,376.5,365.5,378.75,356.25,280.0,0.0301
2021-06-25,377.5,375.75,383.0,373.25,190.0,0.0027
2021-06-28,385.25,377.75,388.75,377.75,370.0,0.0205
2021-06-29,377.25,385.0,389.5,374.0,110.0,-0.0208
2021-06-30,384.0,384.75,385.5,372.0,10.0,0.0179
2021-07-01,393.5,393.0,393.25,381.5,20.0,0.0247
2021-07-02,394.5,389.75,392.5,384.25,0.0,0.0025
2021-07-06,378.25,380.25,382.25,363.0,460.0,-0.0412
2021-07-07,381.0,370.0,377.5,369.5,160.0,0.0073
2021-07-08,385.75,376.25,381.25,372.5,230.0,0.0125
2021-07-09,396.25,378.75,391.0,378.75,220.0,0.0272
2021-07-12,409.0,390.75,405.0,390.75,640.0,0.0322
2021-07-13,425.25,402.0,420.0,402.0,670.0,0.0397
2021-07-14,425.25,418.0,431.5,418.0,730.0,0.0
2021-07-15,439.5,432.75,440.0,424.0,120.0,0.0335
2021-07-16,436.0,439.75,443.0,430.5,140.0,-0.008
2021-07-19,431.75,437.25,443.0,425.5,80.0,-0.0097
2021-07-20,450.75,431.75,452.0,431.75,90.0,0.044
2021-07-21,454.75,454.0,465.0,453.5,110.0,0.0089
2021-07-22,454.5,454.25,454.25,436.0,120.0,-0.0005
2021-07-23,461.5,455.0,465.25,455.0,80.0,0.0154
2021-07-26,462.0,462.0,462.25,450.25,160.0,0.0011
2021-07-27,465.75,465.0,468.5,461.5,50.0,0.0081
2021-07-28,466.25,466.5,470.5,461.5,80.0,0.0011
2021-07-29,463.75,464.25,468.25,463.75,190.0,-0.0054
2021-07-30,446.75,462.0,462.0,446.25,160.0,-0.0367
2021-08-02,447.0,442.75,452.75,441.0,160.0,0.0006
2021-08-03,445.0,446.5,449.0,444.25,50.0,-0.0045
2021-08-04,444.0,445.5,448.5,441.0,30.0,-0.0022
2021-08-05,460.5,449.25,467.5,449.25,90.0,0.0372
2021-08-06,467.25,460.0,473.5,458.5,70.0,0.0147
2021-08-09,468.75,464.25,475.0,463.0,40.0,0.0032
2021-08-10,467.25,466.25,468.5,462.0,30.0,-0.0032
2021-08-11,460.5,464.0,467.0,457.5,80.0,-0.0144
2021-08-12,469.25,462.25,475.0,460.25,70.0,0.019
2021-08-13,494.25,467.25,494.0,467.25,50.0,0.0533
2021-08-16,500.0,494.25,508.75,494.25,110.0,0.0116
2021-08-17,507.5,503.5,519.75,497.25,50.0,0.015
2021-08-18,494.25,502.25,504.0,495.0,50.0,-0.0261
2021-08-19,492.25,493.75,493.75,483.75,40.0,-0.004
2021-08-20,495.0,489.75,503.5,487.75,30.0,0.0056
2021-08-23,509.5,503.25,507.75,500.5,20.0,0.0293
2021-08-24,509.0,517.75,517.75,507.0,30.0,-0.001
2021-08-25,515.75,502.75,518.0,502.75,30.0,0.0133
2021-08-26,509.25,519.0,521.75,510.5,40.0,-0.0126
2021-08-27,518.0,509.75,520.25,509.75,80.0,0.0172
2021-08-30,509.25,523.25,533.25,514.25,50.0,-0.0169
2021-08-31,496.25,506.25,506.25,500.0,0.0,-0.0255
2021-09-01,501.25,509.25,514.25,500.25,0.0,0.0101
2021-09-02,506.75,500.25,507.25,500.0,40.0,0.011
2021-09-03,506.5,514.0,514.0,514.0,0.0,-0.0005
2021-09-07,495.5,500.0,500.0,500.0,0.0,-0.0217
2021-09-08,495.0,495.0,495.0,493.0,10.0,-0.001
2021-09-09,483.75,496.75,496.75,487.5,70.0,-0.0227
2021-09-10,487.5,487.0,496.75,487.0,10.0,0.0078
2021-09-13,492.25,502.0,503.0,502.0,0.0,0.0097
2021-09-14,506.0,507.75,517.0,507.25,40.0,0.0279
2021-09-15,539.25,516.0,540.0,516.0,590.0,0.0657
2021-09-16,551.5,543.0,564.0,540.5,690.0,0.0227
2021-09-17,542.75,550.5,556.5,540.75,320.0,-0.0159
2021-09-20,532.25,542.0,545.0,525.25,600.0,-0.0193
2021-09-21,532.75,530.5,537.25,525.75,250.0,0.0009
2021-09-22,557.75,535.75,557.75,533.0,610.0,0.0469
2021-09-23,580.0,569.0,590.0,561.5,1090.0,0.0399
2021-09-24,575.25,581.5,581.5,565.75,380.0,-0.0082
2021-09-27,587.0,574.75,587.75,574.5,360.0,0.0204
2021-09-28,583.25,586.0,594.5,579.0,360.0,-0.0064
2021-09-29,584.25,583.0,590.75,581.0,330.0,0.0017
2021-09-30,582.25,584.25,587.25,581.5,290.0,-0.0034
2021-10-01,591.0,580.25,595.0,570.25,520.0,0.015
2021-10-04,601.0,591.25,605.0,586.75,620.0,0.0169
2021-10-05,594.75,602.0,608.0,590.75,270.0,-0.0104
2021-10-06,597.75,600.0,604.5,596.0,270.0,0.005
2021-10-07,622.75,601.75,622.75,597.0,680.0,0.0418
2021-10-08,653.75,623.75,659.0,623.0,740.0,0.0498
2021-10-11,673.0,649.75,674.0,642.5,830.0,0.0294
2021-10-12,648.0,675.5,686.25,648.0,960.0,-0.0371
2021-10-13,632.25,636.0,645.0,625.5,910.0,-0.0243
2021-10-14,635.25,635.25,645.0,630.5,340.0,0.0047
2021-10-15,660.25,637.25,660.25,637.25,270.0,0.0394
2021-10-18,662.0,668.0,668.75,643.0,390.0,0.0027
2021-10-19,656.0,655.25,661.25,649.0,230.0,-0.0091
2021-10-20,667.0,656.0,668.5,650.0,300.0,0.0168
2021-10-21,660.0,668.5,670.25,659.0,220.0,-0.0105
2021-10-22,667.25,661.0,669.75,659.5,210.0,0.011
2021-10-25,692.25,667.0,692.25,663.75,750.0,0.0375
2021-10-26,706.5,694.0,715.0,683.25,660.0,0.0206
2021-10-27,711.0,705.0,718.25,701.0,210.0,0.0064
2021-10-28,710.5,715.25,717.25,705.75,350.0,-0.0007
2021-10-29,729.75,714.0,733.75,706.25,490.0,0.0271
2021-11-01,750.75,731.0,763.75,723.25,550.0,0.0288
2021-11-02,760.25,751.25,779.5,724.0,1300.0,0.0127
2021-11-03,746.5,768.0,768.0,730.0,600.0,-0.0181
2021-11-04,741.0,747.25,775.0,737.25,610.0,-0.0074
2021-11-05,749.0,742.75,761.0,736.75,550.0,0.0108
2021-11-08,723.5,747.0,755.25,710.25,730.0,-0.034
2021-11-09,716.25,716.75,724.75,702.25,540.0,-0.01
2021-11-10,740.0,717.25,747.0,709.0,440.0,0.0332
2021-11-11,725.0,738.25,753.25,724.0,520.0,-0.0203
2021-11-12,734.0,723.25,737.0,712.25,330.0,0.0124
2021-11-15,723.25,733.5,737.25,710.0,290.0,-0.0146
2021-11-16,730.5,728.75,738.0,717.0,360.0,0.01
2021-11-17,739.5,731.75,745.0,729.0,430.0,0.0123
2021-11-18,756.5,742.75,767.0,740.0,560.0,0.023
2021-11-19,764.5,760.5,766.0,753.0,280.0,0.0106
2021-11-22,751.0,765.5,769.0,751.0,540.0,-0.0177
2021-11-23,747.25,750.0,751.5,727.0,450.0,-0.005
2021-11-24,750.5,753.75,769.0,747.0,290.0,0.0043
2021-11-26,755.0,748.5,757.75,735.25,610.0,0.006
2021-11-29,746.75,760.0,770.0,744.0,370.0,-0.0109
2021-11-30,723.0,745.0,753.25,715.0,60.0,-0.0318
2021-12-01,710.0,723.0,723.0,705.25,30.0,-0.018
2021-12-02,740.75,708.0,708.0,698.0,20.0,0.0433
2021-12-03,725.0,744.0,744.0,744.0,10.0,-0.0213
2021-12-06,735.0,733.0,733.0,733.0,10.0,0.0138
2021-12-07,737.25,716.75,718.75,709.5,0.0,0.0031
2021-12-08,732.0,717.0,717.0,705.0,40.0,-0.0071
